Rank,School,Conference,Power Rating,oe,de,tempo,id,,RANK,TEAM,2021-22 RECORD,POINTS
137,Chattanooga,SC,13.71,102.87,99.77,70.90,281,72.90,,,,
138,South Florida,Amer,13.69,100.48,96.77,67.35,11,69.35,,,,
139,Longwood,BSth,13.67,104.33,101.71,68.16,87,70.16,,,,
140,California,P12,13.67,100.82,97.26,66.30,251,68.30,,,,
141,Abilene Christian,WAC,13.57,101.27,98.04,72.40,296,74.40,,,,
142,Southern Utah,WAC,13.56,106.87,105.20,70.86,78,72.86,,,,
143,Yale,Ivy,13.51,100.52,97.24,70.44,158,72.44,,,,
144,Samford,SC,13.37,106.02,104.54,73.88,289,75.88,,,,
145,Georgetown,BE,13.36,103.65,101.56,72.00,62,74.00,,,,
146,UC Irvine,BW,13.34,99.48,96.30,67.98,116,69.98,,,,
147,Middle Tennessee,CUSA,13.24,101.57,99.17,69.89,135,71.89,,,,
148,Winthrop,BSth,13.22,103.18,101.29,70.32,82,72.32,,,,
149,Hawaii,BW,12.95,101.31,99.51,68.00,115,70.00,,,,
150,Princeton,Ivy,12.91,104.46,103.60,68.75,160,70.75,,,,
151,Nevada,MWC,12.84,103.15,102.10,72.22,216,74.22,,,,
152,St. Bonaventure,A10,12.81,100.83,99.22,67.55,47,69.55,,,,
153,Massachusetts,A10,12.72,106.25,106.32,73.67,55,75.67,,,,
154,Wofford,SC,12.71,102.67,101.80,66.77,285,68.77,,,,
155,Sam Houston St.,WAC,12.65,99.77,98.22,68.90,295,70.90,,,,
156,Louisiana Lafayette,SB,12.63,102.03,101.14,67.83,324,69.83,,,,
157,Loyola Marymount,WCC,12.60,104.13,103.89,67.92,343,69.92,,,,
158,Duquesne,A10,12.58,101.04,100.00,68.80,51,70.80,,,,
159,Marshall,SB,12.58,102.12,101.38,74.72,136,76.72,,,,
160,Missouri St.,MVC,12.57,103.38,103.00,69.69,208,71.69,,,,
161,Seattle,WAC,12.57,99.27,97.77,72.07,347,74.07,,,,
162,UMass Lowell,AE,12.43,102.33,102.00,70.16,16,72.16,,,,
163,Hofstra,CAA,12.31,103.53,103.79,71.02,128,73.02,,,,
164,Long Beach St.,BW,12.29,102.16,102.09,73.49,117,75.49,,,,
165,Charlotte,CUSA,12.25,103.61,104.02,66.90,142,68.90,,,,
166,Fort Wayne,Horz,12.25,101.47,101.30,70.40,315,72.40,,,,
167,Ohio,MAC,12.22,101.18,101.00,70.00,180,72.00,,,,
168,Saint Joseph's,A10,12.15,100.53,100.34,71.24,46,73.24,,,,
169,Northern Kentucky,Horz,12.14,101.82,102.01,66.46,154,68.46,,,,
170,Pepperdine,WCC,12.09,102.15,102.53,72.33,337,74.33,,,,
171,Northern Iowa,MVC,12.05,100.09,100.00,69.39,206,71.39,,,,
172,Montana,BSky,12.02,102.42,103.04,67.77,68,69.77,,,,
173,Delaware,CAA,11.98,102.26,102.93,68.90,133,70.90,,,,
174,Eastern Washington,BSky,11.94,105.55,107.20,71.20,70,73.20,,,,
175,Cal Baptist,WAC,11.92,102.57,103.45,70.20,394,72.20,,,,
176,UTEP,CUSA,11.86,99.83,100.11,68.98,139,70.98,,,,
177,UNC Asheville,BSth,11.81,103.82,105.30,69.70,80,71.70,,,,
178,Tulsa,Amer,11.78,98.90,99.11,70.40,5,72.40,,,,
179,Buffalo,MAC,11.78,102.43,103.60,73.80,179,75.80,,,,
180,UC Riverside,BW,11.76,99.66,100.10,67.29,120,69.29,,,,
181,Fairfield,MAAC,11.71,101.36,102.40,66.10,170,68.10,,,,
182,Appalachian St.,SB,11.69,99.59,100.18,67.10,331,69.10,,,,
183,Bryant,AE,11.68,102.62,104.07,74.60,231,76.60,,,,
184,Youngstown St.,Horz,11.68,105.39,107.60,68.80,155,70.80,,,,
185,Northeastern,CAA,11.54,100.30,101.43,67.14,131,69.14,,,,
186,Texas St.,SB,11.51,99.53,100.51,65.13,332,67.13,,,,
187,Old Dominion,SB,11.49,97.27,97.67,67.25,138,69.25,,,,
188,Cal St. Fullerton,BW,11.49,101.10,102.56,69.70,123,71.70,,,,
189,Lipscomb,ASun,11.46,102.81,104.80,70.50,40,72.50,,,,
190,Navy,Pat,11.46,97.21,97.68,66.64,258,68.64,,,,
191,Murray St.,MVC,11.42,99.36,100.50,69.51,240,71.51,,,,
192,Illinois St.,MVC,11.41,102.01,103.89,67.54,204,69.54,,,,
193,Cornell,Ivy,11.39,101.90,103.80,71.80,162,73.80,,,,
194,Jacksonville St.,ASun,11.37,101.43,103.25,67.70,238,69.70,,,,
195,La Salle,A10,11.37,100.32,101.84,69.75,57,71.75,,,,
196,UNC Wilmington,CAA,11.36,102.73,104.92,69.24,124,71.24,,,,
197,Quinnipiac,MAAC,11.36,102.31,104.40,71.45,174,73.45,,,,
198,North Dakota St.,Sum,11.27,99.80,101.40,67.97,71,69.97,,,,
199,College of Charleston,CAA,11.24,100.72,102.64,75.50,129,77.50,,,,
200,George Washington,A10,11.24,100.66,102.57,69.20,48,71.20,,,,
201,Rice,CUSA,11.17,103.55,106.40,70.23,146,72.23,,,,
202,Norfolk St.,MEAC,11.12,99.02,100.75,69.03,191,71.03,,,,
203,Mercer,SC,11.07,101.40,103.90,67.77,284,69.77,,,,
204,Ball St.,MAC,11.01,100.75,103.20,68.60,184,70.60,,,,
205,Harvard,Ivy,10.97,97.97,99.75,69.60,164,71.60,,,,
206,Oakland,Horz,10.95,102.37,105.40,69.66,149,71.66,,,,
207,South Alabama,SB,10.94,99.79,102.15,68.32,330,70.32,,,,
208,Northern Colorado,BSky,10.90,102.75,106.00,70.70,75,72.70,,,,
209,Austin Peay,ASun,10.89,99.99,102.50,67.10,242,69.10,,,,
210,Nicholls St.,Slnd,10.89,99.99,102.52,71.99,302,73.99,lit,,,
211,Rider,MAAC,10.81,100.56,103.43,69.62,173,71.62,,,,
212,Georgia St.,SB,10.80,98.55,100.87,70.60,328,72.60,,,,
213,UC Davis,BW,10.76,98.82,101.32,69.66,118,71.66,,,,
214,Coastal Carolina,SB,10.75,99.35,102.00,70.60,81,72.60,,,,
215,Mount St. Mary's,MAAC,10.73,99.86,102.70,64.95,226,66.95,,,,
216,Florida Gulf Coast,ASun,10.66,100.39,103.54,70.50,38,72.50,,,,
217,Utah Tech,WAC,10.59,98.62,101.45,76.10,750,78.10,,,,
218,FIU,CUSA,10.53,100.82,104.39,70.20,140,72.20,,,,
219,Gardner Webb,BSth,10.50,96.61,99.10,69.10,83,71.10,,,,
220,Morehead St.,OVC,10.48,97.26,99.97,67.22,236,69.22,,,,
221,Troy,SB,10.37,97.80,100.90,69.54,333,71.54,,,,
222,Fordham,A10,10.29,92.73,94.64,68.40,53,70.40,,,,
223,Wright St.,Horz,10.24,100.37,104.46,71.76,150,73.76,,,,
224,Texas A&M Corpus Chris,Slnd,10.21,98.35,101.97,71.36,292,73.36,,,,
225,Campbell,BSth,10.06,97.53,101.26,65.10,90,67.10,,,,
226,Oregon St.,P12,10.06,102.03,107.00,68.25,252,70.25,,,,
227,East Tennessee St.,SC,10.05,99.60,103.93,67.30,282,69.30,,,,
228,Bellarmine,ASun,9.98,102.01,107.15,64.80,1025,66.80,,,,
229,Dartmouth,Ivy,9.97,98.82,103.10,67.00,165,69.00,,,,
230,Detroit,Horz,9.92,102.15,107.47,68.00,154,70.00,,,,
231,Tarleton St.,WAC,9.91,96.91,100.80,65.75,1024,67.75,,,,
232,Brown,Ivy,9.78,96.70,100.85,70.30,163,72.30,,,,
233,Manhattan,MAAC,7.52,95.85,104.90,69.91,171,71.91,,,,
234,East Carolina,Amer,9.74,97.00,101.30,69.00,9,71.00,,,,
235,Valparaiso,MVC,9.73,98.00,102.63,68.03,148,70.03,,,,
236,Kennesaw St.,ASun,9.72,100.98,106.43,69.10,42,71.10,,,,
237,North Florida,ASun,9.67,100.25,105.61,69.73,36,71.73,,,,
238,Pacific,WCC,9.66,99.35,104.50,70.16,339,72.16,,,,
239,Western Michigan,MAC,9.65,101.51,107.27,69.90,188,71.90,,,,
240,Air Force,MWC,9.64,98.16,103.02,65.40,221,67.40,,,,
